﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:local:Don%27t+Sleep+Records::Peebs+The+Prophet+-+%22Dead+Calm%22+%28Prod.+Phoniks%29:182","Peebs The Prophet - "Dead Calm" (Prod. Phoniks)","Don't Sleep Records","","0","0","182000","spotify:user:flngr","2015-01-19T16:15:00Z"
"spotify:track:3wbGDVk6WTo8UKg6RikY9w","Stunnin'","Junclassic, Jazz Spastiks","Mode 7","1","4","206994","spotify:user:flngr","2015-01-23T22:16:33Z"
"spotify:track:0APgNkcc8KxlbA48jIBKfk","Eyes Like Blue Skies (feat. Need Not Worry)","SoulChef","Escapism","1","4","239933","spotify:user:flngr","2015-01-23T22:22:15Z"
"spotify:track:0nrWhVTMJojZ8d2nGPb2o2","Say Somethin' (feat. Nieve, Noah King, Adub & Tunji)","SoulChef","Escapism","1","8","269986","spotify:user:flngr","2015-01-23T22:27:36Z"
"spotify:track:1pflFC6tvX3EWxv0ZYvHPw","Oh No (feat. Hydroponikz)","SoulChef","Escapism","1","9","174013","spotify:user:flngr","2015-01-23T22:29:59Z"
"spotify:track:6ESxQ4norWuBLPGfyjiKNv","Tonight (feat. Deep Foundation & Ashley Robles)","SoulChef","Escapism","1","11","276826","spotify:user:flngr","2015-01-23T22:34:42Z"
"spotify:track:7uJvH1U5rhQBEwJILAyA3D","Write This Down (feat. Nieve)","SoulChef","Escapism","1","14","189426","spotify:user:flngr","2015-01-23T22:37:33Z"
"spotify:track:7gvJadQt9vhgVHG7O1L2sc","Save The Children","Joey Bada$$","B4.DA.$$","1","1","215167","spotify:user:flngr","2015-01-30T15:30:24Z"
"spotify:local:::JIM+-++C%27est+la+rentree:123","JIM -  C'est la rentree","","","0","0","123000","spotify:user:flngr","2015-03-12T14:15:19Z"
"spotify:track:1f0i54qgROUg7w5QX9OKaU","Cerceuil","Grems","Algèbre","1","8","168946","spotify:user:flngr","2015-03-19T16:34:04Z"
"spotify:local:Olympe+Mountain:La+montagne+ca+vous+gagne:Olympe+Wountaing:196","Olympe Wountaing","Olympe Mountain","La montagne ca vous gagne","0","0","196000","spotify:user:flngr","2015-03-19T17:11:56Z"
"spotify:local:Olympe+Mountain:La+montagne+ca+vous+gagne:3+point+cardinaux:189","3 point cardinaux","Olympe Mountain","La montagne ca vous gagne","0","0","189000","spotify:user:flngr","2015-03-19T17:12:01Z"
"spotify:track:3HfjF9sQZR7uzbTDzgolIC","Runnin'","The Pharcyde","Labcabincalifornia","1","4","296293","spotify:user:flngr","2015-03-31T13:05:49Z"
"spotify:track:1cZvreQfsRSNoWVKYC1vcR","Fin de journée","Joke","Kyoto","1","5","217622","spotify:user:flngr","2015-04-04T11:34:55Z"
"spotify:track:7yulGKxM9jWgetdhOq4hSt","Hold-Up mental","Iam","Anthologie IAM (1991-2004)","1","2","293280","spotify:user:flngr","2015-04-04T11:36:58Z"
"spotify:track:3BNjuJBicYBzcgos3TPlOx","How Much A Dollar Cost","Kendrick Lamar, James Fauntleroy, Ronald Isley","To Pimp A Butterfly","1","11","261746","spotify:user:flngr","2015-04-05T12:29:38Z"
"spotify:track:5IVMqYdpCjoyaRkNLYlFqN","Complexion (A Zulu Love)","Kendrick Lamar, Rapsody","To Pimp A Butterfly","1","12","263360","spotify:user:flngr","2015-04-05T12:36:15Z"
"spotify:track:46lAAW4MoITmo8D4UAHfMB","You Ain't Gotta Lie (Momma Said)","Kendrick Lamar","To Pimp A Butterfly","1","14","241680","spotify:user:flngr","2015-04-05T12:45:03Z"
"spotify:local:::Akhenaton+-+Bad+Boys+de+Marseille+%28Version+Sauvage%29:285","Akhenaton - Bad Boys de Marseille (Version Sauvage)","","","0","0","285000","spotify:user:flngr","2015-04-05T16:37:00Z"
"spotify:track:4l6qhHnaXwqUr0nKOzLhmM","Des gens qui parlent dans ma tête","Jazzy Bazz","Ofive présente Recueil.1","1","10","236564","spotify:user:flngr","2015-04-14T12:24:25Z"
"spotify:local:Kostas+Paraskevas::Imam+Baildi+-+O+Pasatempos:294","Imam Baildi - O Pasatempos","Kostas Paraskevas","","0","0","294000","spotify:user:flngr","2015-04-17T20:24:33Z"
"spotify:local:::Nym+-+Cansac%CC%A7o:178","Nym - Cansaço","","","0","0","178000","spotify:user:flngr","2015-04-17T20:34:27Z"
"spotify:local:shuko::Shuko+The+Same+Ft.+CL+Smooth+%26+20syl+Of+C2C:251","Shuko The Same Ft. CL Smooth & 20syl Of C2C","shuko","","0","0","251000","spotify:user:flngr","2015-04-27T13:23:19Z"
"spotify:track:2NPxL1QqPrD1a7OLHjVcAP","I Can","Nas","God's Son","1","7","253720","spotify:user:flngr","2015-05-02T19:03:04Z"
"spotify:track:3bbKQME8mVAy5lT5akOt6N","The Message","Nas","Hip Hop 100 Hits - Urban rap & R n B anthems inc. Jay Z, A$ap Rocky, Wu-Tang Clan & Nas","1","12","234133","spotify:user:flngr","2015-05-02T20:14:14Z"
"spotify:track:3aDQEfYxukimaR9lCPIQp1","1977","Ana Tijoux","1977","1","3","201986","spotify:user:flngr","2015-05-04T20:02:41Z"
"spotify:track:5LZ6eVDkAkKe2656SAfJlH","Suck It Easy","Tia Nomore","Suck It Easy","1","1","170008","spotify:user:flngr","2015-05-06T19:58:29Z"
"spotify:local:Tia+Nomore::Show+Banga+Ft.+Tia+Nomore+-+Night+Cap:247","Show Banga Ft. Tia Nomore - Night Cap","Tia Nomore","","0","0","247000","spotify:user:flngr","2015-05-08T17:53:10Z"
"spotify:track:4Ht03Q63sHD9eYmJVGYd7h","Next Level","Scottie Royal, Flovcut","Great Scottie","1","12","202107","spotify:user:flngr","2015-05-08T17:56:51Z"
"spotify:track:3Z299cWz3ZUCLvhumTKfpP","Des terres d'Afrique","Kery James","Si c'était à refaire","1","4","315426","spotify:user:flngr","2015-05-25T14:20:35Z"
"spotify:track:7hJSlkVqSs5E15pHLeoXMb","L'amour véritable","Kery James","Savoir & vivre ensemble","1","2","314760","spotify:user:flngr","2015-05-26T14:33:45Z"
"spotify:track:5cYZm4KeDKM8Pw8z5XRKJt","Wavybone","A$AP Rocky, Juicy J, UGK","AT.LONG.LAST.A$AP","1","12","303000","spotify:user:flngr","2015-05-26T16:25:56Z"
"spotify:track:2N3U8uTYhjX2KwGT0pf5x0","Everyday","A$AP Rocky, Rod Stewart, Miguel, Mark Ronson","AT.LONG.LAST.A$AP","1","17","260986","spotify:user:flngr","2015-05-26T16:43:23Z"
"spotify:track:1bdA3mvCXPOzC2xNvbDTjd","Dans Ta Ressoi","Nekfeu","Dans Ta Ressoi","1","1","220694","spotify:user:flngr","2015-05-27T14:55:00Z"
"spotify:track:1E0n72xIVEbroAEhywKHVB","La crise","Sear Lui-Même, Alpha Wann, Eff Gee","Eclipse lunaire","1","1","241160","spotify:user:flngr","2015-05-27T15:01:53Z"
"spotify:track:5OBYGdWf80DI1ttEyljEam","Big Punchliner","Sear Lui-Même","Eclipse lunaire","1","3","162120","spotify:user:flngr","2015-05-27T15:04:37Z"
"spotify:track:0hjKoFIsCa8llsvZjsLgci","Rude Bwoy","Ahkatari","Ahkatari","1","14","131672","spotify:user:flngr","2015-06-15T15:10:34Z"
"spotify:track:1U80QIwXuZYSyUVqTzyk7v","Black Sheep","Mick Jenkins","The Water[s]","1","8","197661","spotify:user:flngr","2015-06-17T19:12:11Z"
"spotify:track:3jihIG6ry4oRPhKwn9PLja","The Waters","Mick Jenkins","The Water[s]","1","3","253824","spotify:user:flngr","2015-06-17T19:18:54Z"
"spotify:track:4E5iR7RrC5yI6xA7zIEWlY","Vibe","Mick Jenkins","The Water[s]","1","6","274825","spotify:user:flngr","2015-06-17T19:30:45Z"
"spotify:track:3yEl4FqImJCv6OCG1Dt2jO","Life - Original Mix","Siren's Echo, Taj","Supa Soul Sista's","1","4","200453","spotify:user:flngr","2015-06-22T09:24:40Z"
"spotify:track:2jAB2ZDtRQQHeCwhflRpKd","No Cry (feat. Ashley Du Bose)","Lexii Alijai, Ashley DuBose","Feel·Less","1","10","263302","spotify:user:flngr","2015-06-24T12:54:01Z"
"spotify:local:::All+For+Her:146","All For Her","","","0","0","146000","spotify:user:flngr","2015-06-29T16:36:08Z"
"spotify:track:2lzaASXkdcFcn4FDMeV0Zp","Max B","Joke, Starring Max B","Tokyo","1","4","246003","spotify:user:flngr","2015-07-10T07:55:28Z"
